strategy_name	strategy_description	strategy_score_dev	strategy_score_eval	performance_description
opus47_max_20apr26_1_v1	V1: 15m same-bar sweep+reclaim of weekly/PDH/PDL/Monday/Asia levels. BTC-bias direction gate. ATR TP/SL. Red rejection bar required for shorts, green for longs.	0.00	-	PNL -804.43% | PF 0.79 | Sort -4.47 | MDD 682.52% | Gen 0.553 | 7789 trades | not eligible
opus47_max_20apr26_1_v2	V2: V1 + strict quality gates — reclaim >= 50% of pierce, upper/lower wick >= 2x body, vol_ratio >= 1.5. Strict BTC alignment: long only in Bullish, short only in Bearish (BTC itself exempt).	0.00	-	PNL -98.19% | PF 0.79 | Sort -2.80 | MDD 103.49% | Gen 0.303 | 881 trades | not eligible
opus47_max_20apr26_1_v3	V3: Pivoted to 1h primary with 1-bar confirmation. Sweep detected on bar i-1, entry on bar i requires no re-break of level and close in reversal direction. Wider pierce range (0.1%-2%), softer wick ratio (1.5x), softer vol (1.3x). Strict BTC alignment preserved.	0.00	-	PNL -145.07% | PF 0.67 | Sort -2.64 | MDD 147.77% | Gen 0.290 | 406 trades | not eligible
opus47_max_20apr26_1_v4	V4: pivoted from sweep+reclaim to VWAP/POC mean reversion. Short when close > VWAP_48 + 3% AND close > POC_48 + 2% AND RSI_14 > 70; long mirror. BTC-bias aligned (BTC itself exempt). Tighter TP (1.8 ATR) wider SL (1.5 ATR) for volatility tolerance.	0.00	-	PNL -187.65% | PF 0.66 | Sort -2.53 | MDD 208.82% | Gen 0.322 | 346 trades | not eligible
opus47_max_20apr26_1_v5	V5: CVD+RSI double divergence as primary entry (primitive unused by opus46). Short on bearish double-div in non-bullish BTC; long on bullish double-div in bullish BTC. 1h primary, 22-sym, ATR TP 2.5x / SL 1.3x.	0.00	-	PNL -41.14% | PF 0.95 | Sort -0.72 | MDD 68.02% | Gen 0.084 | 746 trades | not eligible
opus47_max_20apr26_1_v6	V6: V5 + non-trending filter (ADX_14 <= 25, atr_ratio <= 2.2) and stricter RSI extremes (>=65 short, <=35 long). Divergences inside strong trends were failing as continuation-div; restrict to chop/MR conditions.	0.00	-	PNL -3.73% | PF 0.89 | Sort -0.91 | MDD 9.37% | Gen 0.060 | 33 trades | not eligible
opus47_max_20apr26_1_v7	V7: V5 + softer chop gate (ADX_14 <= 30, atr_ratio <= 2.5), retaining V5 RSI thresholds (55/45). V6 was over-filtered (33 trades). Goal: keep the divergence signal density but drop strong-trend cells.	0.00	-	PNL -6.34% | PF 0.98 | Sort -0.27 | MDD 39.82% | Gen 0.021 | 413 trades | not eligible
opus47_max_20apr26_1_v8	V8: cross-symbol alt catch-up. BTC 6h return >= 2% + alt 6h return <= 0.5% + alt above 20-EMA + BTC bias bullish => long alt. Short mirror. BTC itself excluded from signals. Novel: opus46 was single-symbol squeeze; V8 uses BTC as the external impulse signal for every alt.	0.00	-	PNL -110.89% | PF 0.80 | Sort -1.22 | MDD 110.15% | Gen 0.203 | 383 trades | not eligible
opus47_max_20apr26_1_v9	V9: long-only alt catch-up. Drops V8 shorts (alts LEAD BTC down). Tighter BTC impulse (>=2.5%), alt lag cap (<=0.3%), plus alt consolidation filter (|ret_24h|<=2.0%) — catch-up only meaningful when the alt has been range-bound while BTC moved.	0.00	-	PNL +1.07% | PF 1.02 | Sort -0.14 | MDD 19.37% | Gen 0.037 | 53 trades | eligible
opus47_max_20apr26_1_v10	V10: long-only alt catch-up. V8 thresholds (BTC >= 2%, alt <= 0.5%) with V9's consolidation filter loosened to |alt_ret_24h| <= 3%. Goal: enough signals to clear coverage penalty (~100+ trades) while preserving the V8 long-side edge (91.7% WR in stress bull).	0.00	-	PNL +1.85% | PF 1.01 | Sort -0.08 | MDD 25.84% | Gen 0.018 | 155 trades | eligible
opus47_max_20apr26_1_v11	V11: V10 + quality gates — beta_gap >= 2%, alt_r >= -1% (no freefall alts), consolidation tightened to 2.5%, RSI box 35-55 (not overbought, not oversold). Goal: kill the dev [bullish] losses where the alt was already mid-rally.	0.00	-	PNL -7.03% | PF 0.92 | Sort -0.60 | MDD 15.58% | Gen 0.051 | 76 trades | not eligible
opus47_max_20apr26_1_v12	V12: V10 core + keep alt-freefall floor (alt_r >= -1.5%) and soft RSI floor (>= 40). Dropped the RSI upper cap (V11 killed stress_bullish winners that had healthy uptrend RSI 55-65) and the explicit beta_gap (implicit via alt_cap/BTC impulse).	0.00	-	PNL +8.03% | PF 1.05 | Sort 0.15 | MDD 23.28% | Gen 0.047 | 151 trades | eligible
opus47_max_20apr26_1_v13	V13: tighten BTC impulse to 2.5% (stress pumps only) and consolidation to 2.5%. Drop RSI / alt-min filters. Tighten TP to 2.0 ATR, SL to 1.2 ATR for faster MR-style exits on alt catch-up.	0.01	-	PNL +15.13% | PF 1.19 | Sort 0.61 | MDD 21.01% | Gen 0.112 | 80 trades | eligible
opus47_max_20apr26_1_v14	V14: bidirectional combo. Long = alt catch-up after BTC 6h >= 2% impulse (cross-symbol, V10 params). Short = bearish CVD+RSI double divergence with RSI>=60, ADX<=30, BTC not bullish (V5 primitive). Two orthogonal setups for two different regimes.	0.00	-	PNL -19.32% | PF 0.95 | Sort -0.54 | MDD 45.92% | Gen 0.059 | 405 trades | not eligible
opus47_max_20apr26_1_v15	V15: funding extreme fade (standalone entry primitive, untested by opus46). Short when zscore_30d >= 2.5 AND cumulative_7d >= 0.6% AND BTC not bullish. Long mirror (z <= -2.5, cum7d <= -0.6%, BTC not bearish). RSI/vol confirmation. 1h primary, 22-sym.	0.00	-	PNL -4.84% | PF 0.36 | Sort -1.87 | MDD 5.76% | Gen 0.209 | 4 trades | not eligible
opus47_max_20apr26_1_v16	V16: V15 but loosened to zscore_30d >= 1.5 (was 2.5) and dropped cum_7d gate. V15 produced only 4 trades in 58 windows.	0.00	-	PNL -120.22% | PF 0.88 | Sort -0.95 | MDD 146.31% | Gen 0.140 | 804 trades | not eligible
opus47_max_20apr26_1_v17	V17: V8 params (BTC 6h >= 2%, alt 6h <= 0.5%) + V10 consolidation (|alt_24h| <= 3%), long-only. Restores the BTC 2% threshold that preserved the V8 stress_bullish cell (PF 13.82) while V13 at 2.5% lost it.	0.00	-	PNL +1.85% | PF 1.01 | Sort -0.08 | MDD 25.84% | Gen 0.018 | 155 trades | eligible
opus47_max_20apr26_1_v18	V18: session-aware Asia-range break during London (08-14 UTC). Long on close > asia_high + 0.15% with body_ratio>=0.35, vol_ratio>=1.3, bias not bearish. Short mirror with bias not bullish. Asia range must be >=0.4%. Uses KeyLevels.asia_* (unused by opus46).	0.00	-	PNL -247.85% | PF 0.82 | Sort -2.35 | MDD 240.98% | Gen 0.270 | 1588 trades | not eligible
opus47_max_20apr26_1_v19	V19: V10 alt catch-up long + funding sanity filter. Long only when alt's funding zscore_30d <= 0.5 (not already crowded long). Funding context treated as positioning filter, not directional signal (opposite of V15/V16).	0.00	-	PNL +3.81% | PF 1.03 | Sort -0.01 | MDD 27.67% | Gen 0.024 | 103 trades | eligible
opus47_max_20apr26_1_v20	V20: V19 tightened — alt_cap 0.4%, consolidation 2.0% (only truly flat alts), TP 2.2 ATR, SL 1.2 ATR. Goal: isolate clean stress-style catch-up setups and drop the noisy dev-bullish slow-trend cells.	0.00	-	PNL -6.01% | PF 0.92 | Sort -0.59 | MDD 28.02% | Gen 0.045 | 72 trades | not eligible
opus47_max_20apr26_1_v21	V21: V13 params (BTC 2.5%, consol 2.5%, TP 2.0 / SL 1.2) + V19 funding filter (zscore_30d <= 0.5). Combines the two partial wins from V13 (PF 1.19) and V19 (PF 1.03).	0.00	-	PNL +5.76% | PF 1.12 | Sort 0.14 | MDD 12.00% | Gen 0.054 | 51 trades | eligible
opus47_max_20apr26_1_v22	V22: V21 softened to BTC 2.2% (was 2.5%), funding cap 1.0 (was 0.5), but tightened ATR ceiling to 2.0 (was 2.5). Wider max-hold (30h) to let slower catch-ups resolve. Cooldown 10h for denser coverage.	0.02	-	PNL +17.61% | PF 1.19 | Sort 0.80 | MDD 13.73% | Gen 0.102 | 99 trades | eligible
