strategy_name	strategy_description	strategy_score_dev	strategy_score_eval	performance_description
gpt54_mid_22apr26_1_v1	V1: 1h UTC-day anchored VWAP first-retest continuation. After a real intraday drive away from anchored VWAP, enter the first fair-value retest/failure touch with body+volume confirmation and BTC regime alignment. Distinct from rolling VWAP MR, EMA pullbacks, squeeze release, and divergence.	0.00	-	PNL -3.26% | PF 0.00 | Sort -2.06 | MDD 3.26% | Gen 0.159 | 2 trades | not eligible
gpt54_mid_22apr26_1_v2	V2: 1h UTC-day anchored VWAP trend-day hold. Broadens V1 from only the first touch to a wider intraday fair-value continuation setup: after a modest session drive away from anchored VWAP, accept early/mid-session retests that hold/fail at VWAP with lighter body+volume thresholds and 24h direction alignment.	0.00	-	PNL -3.45% | PF 1.00 | Sort -0.11 | MDD 95.56% | Gen 0.006 | 764 trades | not eligible
gpt54_mid_22apr26_1_v3	V3: short-only 1h UTC-day anchored VWAP failure. Keeps the novel anchored-VWAP intraday idea, but drops the losing long side and only trades bearish-macro days: price drives below day AVWAP, retests it from underneath, then fails with a red confirmation bar.	0.00	-	PNL -6.91% | PF 0.86 | Sort -0.55 | MDD 20.85% | Gen 0.053 | 54 trades | not eligible
gpt54_mid_22apr26_1_v4	V4: long-only 1h UTC-day anchored VWAP reclaim on bullish macro days. Keeps the novel day-anchored VWAP entry, but only buys retests when both BTC daily bias and BTC 24h momentum are clearly bullish, aiming to isolate trend-day fair-value holds.	0.02	-	PNL +37.37% | PF 1.38 | Sort 2.07 | MDD 35.68% | Gen 0.125 | 92 trades | eligible
gpt54_mid_22apr26_1_v5	V5: V4 with a cleaner reclaim definition. Still long-only and bullish-macro-only, but now only the first clean AVWAP retest qualifies, with stronger body/volume confirmation and a tighter RSI ceiling to avoid late-stage chase entries.	0.00	-	PNL +2.90% | PF inf | Sort -2.09 | MDD 0.00% | Gen 0.159 | 1 trades | not eligible
gpt54_mid_22apr26_1_v6	V6: V4 with overextension caps. Keep the broad bullish-macro AVWAP reclaim, but reject entries when the current session or the symbol's 24h move is already too stretched, so the strategy buys trend-day fair-value holds instead of euphoric continuation traps.	0.00	-	PNL +0.00% | PF 0.00 | Sort -7.22 | MDD 0.00% | Gen 1.000 | 0 trades | not eligible
gpt54_mid_22apr26_1_v7	V7: V4 with only a 24h extension cap. Keep the bullish-macro AVWAP reclaim broad enough to trade, but reject symbols already up too far over 24h; this specifically targets the dev-bull chase losses without shutting down ordinary trend days.	0.00	-	PNL +0.00% | PF 0.00 | Sort -7.22 | MDD 0.00% | Gen 1.000 | 0 trades | not eligible
gpt54_mid_22apr26_1_v8	V8: V4 plus a true fair-value reclaim definition. Keep the bullish-macro day-AVWAP long, but require the signal bar to open near AVWAP and close only modestly above it, so the entry is a hold of fair value rather than a chase after immediate re-expansion.	0.00	-	PNL -2.20% | PF 0.94 | Sort -0.81 | MDD 18.49% | Gen 0.047 | 35 trades | not eligible
gpt54_mid_22apr26_1_v9	V9: V4 plus a longer-trend gate. Keep the bullish-macro day-AVWAP reclaim, but only when BTC is also up over 3 days and the symbol is up over 48h, to avoid buying one-day spikes inside weak broader structure.	0.03	-	PNL +43.30% | PF 1.66 | Sort 2.91 | MDD 29.65% | Gen 0.136 | 66 trades | eligible
gpt54_mid_22apr26_1_v10	V10: V9 plus an intraday overextension cap. Keep the bullish-macro and 48h-trend gates, but reject AVWAP reclaims after the session has already run too far from the open or too far above AVWAP, to reduce euphoric late-bull entries.	0.00	-	PNL +2.91% | PF 1.23 | Sort -0.24 | MDD 8.26% | Gen 0.061 | 14 trades | not eligible
gpt54_mid_22apr26_1_v11	V11: V9 with a smaller target. Keep the bullish-macro and 48h-trend AVWAP reclaim intact, but reduce TP from 2.2 ATR to 2.0 ATR to trade the same signal with a less bursty payout profile.	0.03	-	PNL +39.02% | PF 1.61 | Sort 2.60 | MDD 24.33% | Gen 0.137 | 66 trades | eligible
gpt54_mid_22apr26_1_v12	V12: V11 plus volatility-state gating. Keep the bullish-macro and 48h-trend AVWAP reclaim with the smaller target, but require both the symbol and BTC to be in calmer ATR-ratio states so the strategy trades orderly trend days instead of expansion bursts.	0.00	-	PNL -1.38% | PF 0.97 | Sort -0.41 | MDD 26.19% | Gen 0.025 | 46 trades | not eligible
gpt54_mid_22apr26_1_v20	V20: 4h double-inside-bar breakout long. Two nested inside bars create a compression cluster inside a mother bar; the current bar must break above the mother high with a strong body and volume, while BTC daily bias plus BTC 24h/3d momentum stay bullish.	0.17	-	PNL +47.25% | PF 6.00 | Sort 14.54 | MDD 3.37% | Gen 0.222 | 17 trades | not eligible
